sample_id,project_id,sampling_date,sampling_month,sampling_year,site_code,old_site_code,replicate,barcode_forward,barcode_reverse,river_mile,site_details,paired,latitute,longitude
PC_001,,12/19/2019,12,2019,SCCA,SCC,A,N706,S522,23,Stebbins Cold Canyon by parking lot,No,38.5128,-122.0972
PC_002,,12/19/2019,12,2019,SCCA,SCC,B,N707,S522,23,Stebbins Cold Canyon by parking lot,No,38.5128,-122.0972
PC_003,,12/19/2019,12,2019,SCCA,SCC,C,N710,S522,23,Stebbins Cold Canyon by parking lot,No,38.5128,-122.0972
PC_004,,12/19/2019,12,2019,STW1,HAS,A,N711,S522,18,"Step Weir 1, Hasbrook Property",No,38.5325,-121.9355
PC_005,,12/19/2019,12,2019,STW1,HAS,B,N712,S522,18,"Step Weir 1, Hasbrook Property",No,38.5325,-121.9355
PC_006,,12/19/2019,12,2019,STW1,HAS,C,N714,S522,18,"Step Weir 1, Hasbrook Property",No,38.5325,-121.9355
PC_007,,12/19/2019,12,2019,MBLD,MBL,A,N715,S522,5,Mace Blvd - downstream from bridge,No,38.5176,-121.6967
PC_008,,12/19/2019,12,2019,MBLD,MBL,B,N716,S522,5,Mace Blvd - downstream from bridge,No,38.5176,-121.6967
PC_009,,12/19/2019,12,2019,MBLD,MBL,C,N718,S522,5,Mace Blvd - downstream from bridge,No,38.5176,-121.6967
PC_010,,12/19/2019,12,2019,FDNC,FDNC,1,N719,S522,NA,Field Negative Control,NA,NA,NA
PC_011,,5/21/2020,5,2020,RRAF,RRA,C,N720,S522,12,Russell Ranch fyke trap,Fyke trap,38.5379,-121.865
PC_012,,5/21/2020,5,2020,STW1,HAS,A,N721,S522,18,"Step Weir 1, Hasbrook Property",No,38.5325,-121.9355
PC_014,,5/25/2020,5,2020,RRAN,RRA,A,N723,S522,12,Russell Ranch fyke trap,Fyke trap,38.5379,-121.865
PC_015,,5/25/2020,5,2020,RRAN,RRA,B,N701,S521,12,Russell Ranch fyke trap,Fyke trap,38.5379,-121.865
PC_016,,5/25/2020,5,2020,RRAN,RRA,C,N702,S521,12,Russell Ranch fyke trap,Fyke trap,38.5379,-121.865
PC_017,,5/25/2020,5,2020,FDNC,FDNC,2,N703,S521,NA,Field Negative Control,NA,NA,NA
PC_018,,5/28/2020,5,2020,RRAN,RRA,A,N704,S521,12,Russell Ranch fyke trap,Fyke trap,38.5379,-121.865
PC_019,,5/28/2020,5,2020,RRAN,RRA,B,N705,S521,12,Russell Ranch fyke trap,Fyke trap,38.5379,-121.865
PC_020,,5/28/2020,5,2020,RRAN,RRA,C,N706,S521,12,Russell Ranch fyke trap,Fyke trap,38.5379,-121.865
PC_021,,5/28/2020,5,2020,RRAN,RRA,D,N707,S521,12,Russell Ranch fyke trap,Fyke trap,38.5379,-121.865
PC_022,,5/28/2020,5,2020,RRAN,RRA,E,N710,S521,12,Russell Ranch fyke trap,Fyke trap,38.5379,-121.865
PC_023,,5/28/2020,5,2020,RRAN,RRA,F,N711,S521,12,Russell Ranch fyke trap,Fyke trap,38.5379,-121.865
PC_024,,5/28/2020,5,2020,RRAN,RRA,G,N712,S521,12,Russell Ranch fyke trap,Fyke trap,38.5379,-121.865
PC_025,,5/28/2020,5,2020,SCCA,SCC,A,N714,S521,23,Stebbins Cold Canyon by parking lot,No,38.5128,-122.0972
PC_026,,5/28/2020,5,2020,SCCA,SCC,B,N715,S521,23,Stebbins Cold Canyon by parking lot,No,38.5128,-122.0972
PC_027,,5/28/2020,5,2020,STW1,HAS,B,N716,S521,18,"Step Weir 1, Hasbrook Property",No,38.5325,-121.9355
PC_028,,5/28/2020,5,2020,STW1,HAS,C,N718,S521,18,"Step Weir 1, Hasbrook Property",No,38.5325,-121.9355
PC_029,,5/28/2020,5,2020,MBLD,MBL,A,N719,S521,5,Mace Blvd - downstream from bridge,No,38.5176,-121.6967
PC_030,,5/28/2020,5,2020,MBLD,MBL,B,N720,S521,5,Mace Blvd - downstream from bridge,No,38.5176,-121.6967
PC_031,,5/28/2020,5,2020,MBLD,MBL,C,N721,S521,5,Mace Blvd - downstream from bridge,No,38.5176,-121.6967
PC_032,,NA,5,2020,PCRN,PCRN,1,N722,S521,NA,PCR negative control,NA,NA,NA
PC_033,,5/21/2020,5,2020,RRAF,RRA,A,N701,S522,12,Russell Ranch fyke trap,Fyke trap,38.5379,-121.865
PC_034,,5/21/2020,5,2020,RRAF,RRA,B,N702,S522,12,Russell Ranch fyke trap,Fyke trap,38.5379,-121.865
PC_035,,5/28/2020,5,2020,SCCA,SCC,C,N703,S522,23,Stebbins Cold Canyon by parking lot,No,38.5128,-122.0972
PC_036,,5/28/2020,5,2020,STW1,HAS,A,N704,S522,18,"Step Weir 1, Hasbrook Property",No,38.5325,-121.9355
PC_037,,10/19/2020,10,2020,MBLU,MBL,A,N714,S517,5,Mace Blvd - upstream from bridge,Electrofishing,38.5176,-121.6967
PC_038,,10/19/2020,10,2020,MBLU,MBL,B,N714,S502,5,Mace Blvd - upstream from bridge,Electrofishing,38.5176,-121.6967
PC_039,,10/19/2020,10,2020,MBLU,MBL,C,N714,S503,5,Mace Blvd - upstream from bridge,Electrofishing,38.5176,-121.6967
PC_040,,10/19/2020,10,2020,OLDR,ODR,A,N714,S505,8,Old Davis Rd,Electrofishing,38.5172,-121.7562
PC_041,,10/19/2020,10,2020,OLDR,ODR,B,N714,S506,8,Old Davis Rd,Electrofishing,38.5172,-121.7562
PC_043,,10/19/2020,10,2020,PEDR,PED,A,N715,S502,10,Pedrick Rd,Electrofishing,38.5268,-121.8035
PC_044,,10/19/2020,10,2020,PEDR,PED,B,N715,S503,10,Pedrick Rd,Electrofishing,38.5268,-121.8035
PC_045,,10/19/2020,10,2020,PEDR,PED,C,N715,S505,10,Pedrick Rd,Electrofishing,38.5268,-121.8035
PC_046,,10/19/2020,10,2020,FDNC,FDNC,1,N715,S506,NA,Field Negative Control,NA,NA,NA
PC_049,PC_RRAN20201117C,11/17/2020,11,2020,RRAN,RRAN,C,N711,S505,12,Russell Ranch - lower,No,38.5379,-121.865
PC_051,PC_KILD20200412A,4/12/2021,4,2021,ST2D,KILD,A,N711,S507,18,Step Weir 2 - downstream,Screw trap,38.5313,-121.9313
PC_052,PC_KILD20200412B,4/12/2021,4,2021,ST2D,KILD,B,N711,S508,18,Step Weir 2 - downstream,Screw trap,38.5313,-121.9313
PC_053,PC_KILD20200412C,4/12/2021,4,2021,ST2D,KILD,C,N711,S510,18,Step Weir 2 - downstream,Screw trap,38.5313,-121.9313
PC_055,PC_SCCA20200412B,4/12/2021,4,2021,SCCA,SCCA,B,N711,S502,23,Stebbins Cold Canyon,No,38.5128,-122.0972
PC_056,PC_SCCA20200412C,4/12/2021,4,2021,SCCA,SCCA,C,N711,S503,23,Stebbins Cold Canyon,No,38.5128,-122.0972
PC_057,PC_MBLU20200412A,4/12/2021,4,2021,MBLU,MBLU,A,N711,S505,5,Mace Blvd - upstream,No,38.5176,-121.6967
PC_058,PC_MBLU20200412B,4/12/2021,4,2021,MBLU,MBLU,B,N711,S506,5,Mace Blvd - upstream,No,38.5176,-121.6967
PC_059,PC_MBLU20200412C,4/12/2021,4,2021,MBLU,MBLU,C,N711,S507,5,Mace Blvd - upstream,No,38.5176,-121.6967
PC_060,PC_FDNC20210412A,4/12/2021,4,2021,FDNC,FDNC,5,N711,S508,NA,Field Negative Control,NA,NA,NA
PC_061,PC_KILU20200527A,5/27/2021,5,2021,ST2D,KILD,A,N711,S510,18,Step Weir 2 - downstream,Screw trap,38.5313,-121.9313
PC_062,PC_KILU20200527B,5/27/2021,5,2021,ST2D,KILD,B,N711,S511,18,Step Weir 2 - downstream,Screw trap,38.5313,-121.9313
PC_063,PC_KILU20200527C,5/27/2021,5,2021,ST2D,KILD,C,N711,S502,18,Step Weir 2 - downstream,Screw trap,38.5313,-121.9313
PC_064,PC_KILD20200527A,5/27/2021,5,2021,ST2U,KILU,A,N711,S503,18,Step Weir 2 - upstream,Screw trap,38.5313,-121.9313
PC_065,PC_KILD20200527B,5/27/2021,5,2021,ST2U,KILU,B,N711,S505,18,Step Weir 2 - upstream,Screw trap,38.5313,-121.9313
PC_066,PC_KILD20200527C,5/27/2021,5,2021,ST2U,KILU,C,N711,S506,18,Step Weir 2 - upstream,Screw trap,38.5313,-121.9313