,PC_001,PC_002,PC_003,PC_004,PC_005,PC_006,PC_007,PC_008,PC_009,PC_018,PC_019,PC_020,PC_025,PC_026,PC_035,PC_027,PC_028,PC_036,PC_029,PC_030,PC_031,PC_037,PC_038,PC_039,PC_040,PC_041,PC_043,PC_044,PC_045,PC_049,PC_051,PC_052,PC_053,PC_055,PC_056,PC_057,PC_058,PC_059,PC_061,PC_062,PC_063,PC_070,PC_071,PC_072,PC_074,PC_075,PC_076,PC_078,PC_079,PC_080,PC_082,PC_083,PC_084,PC_085,PC_086,PC_087,PC_090,PC_091,PC_092
Catostomus occidentalis,0.07968,0.15165,0.10518,0.34687,0.33510,0.37752,0.27473,0.21875,0.30087,0.68456,0.67542,0.54804,0.04698,0.00076,0.03757,0.69147,0.73095,0.83325,0.02595,0.03004,0.02765,0.00018,0.00047,0.00028,0.12417,0.25127,0.48391,0.15942,0.41694,0.49421,0.85595,0.99246,1.00000,0.03321,0.00157,0.00504,0.07337,0.16479,0.22155,0.08063,0.26777,0.01380,0.05914,0.04070,0.27386,0.25192,0.26912,0.22513,0.21406,0.03252,0.49038,0.38405,0.32920,0.12905,0.05006,0.17986,0.58041,0.69505,0.53935
Ptychocheilus grandis,0.03680,0.04887,0.03782,0.09521,0.07267,0.07238,0.06810,0.14135,0.10201,0.61814,0.69564,0.75764,0.04588,0.01586,0.02304,0.19288,0.33901,0.23732,0.04437,0.00027,0.04224,0.01604,0.00000,0.03793,0.01209,0.03567,0.61630,0.60881,0.69397,0.00447,0.07751,0.06682,0.19081,0.00538,0.00679,0.01882,0.03731,0.09012,0.72091,0.98025,0.89309,0.00502,0.00230,0.00000,0.09303,0.13070,0.16979,0.96340,1.00000,0.45181,0.10511,0.06891,0.07717,0.04946,0.02582,0.02699,0.08372,0.08535,0.15157
Micropterus salmoides,0.03916,0.02164,0.02825,0.00389,0.01925,0.00000,0.27650,0.33935,0.17285,0.04256,0.07967,0.28033,0.00046,0.00012,0.00011,0.00008,0.00000,0.00000,0.39337,0.65342,0.37955,0.17749,0.31702,0.41585,0.37851,0.35153,0.26244,0.96414,0.37566,0.49083,0.00024,0.00011,0.00012,0.00211,0.13393,0.37995,0.56469,0.42184,0.02878,0.00111,0.02059,0.81083,0.70067,0.69618,0.44392,0.50221,0.35068,0.24820,0.08792,0.17057,0.00038,0.01654,0.01438,0.00005,0.00864,0.00000,0.56427,0.25338,1.00000
Lepomis macrochirus,0.00008,0.00020,0.00014,0.00444,0.01501,0.02381,0.32522,0.49750,0.41277,0.00006,0.00007,0.00016,0.00025,0.00012,0.00012,0.00003,0.03557,0.04101,0.31912,0.47224,0.42916,0.95225,1.00000,0.96600,0.57728,0.71990,0.00000,0.00199,0.02674,0.00044,0.00000,0.05173,0.00027,0.00123,0.00059,0.27074,0.25606,0.10399,0.06032,0.00058,0.00040,0.17096,0.32438,0.25172,0.22988,0.26699,0.28074,0.00000,0.00000,0.00002,0.00817,0.00403,0.00633,0.00000,0.01374,0.00568,0.07013,0.04568,0.01821
Gasterosteus aculeatus,0.63080,0.64809,0.73959,0.31173,0.30419,0.28134,0.00203,0.00016,0.00388,0.00011,0.00018,0.00012,0.64483,0.55559,0.48153,0.16737,0.12409,0.10716,0.00000,0.00005,0.00003,0.00014,0.00007,0.00013,0.00001,0.00020,0.00000,0.00000,0.00000,0.01209,0.15168,0.20458,0.18163,0.59305,0.72468,0.00845,0.00529,0.00448,0.14738,0.28262,0.16728,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005,0.00013,0.00000,0.50367,0.57687,0.60323,1.00000,0.60646,0.96635,0.08517,0.09910,0.08364
Cottus asper,0.51132,0.40328,0.42475,0.24714,0.24479,0.17689,0.05195,0.05574,0.07282,0.03102,0.01015,0.00015,0.56883,0.26789,0.63217,0.36268,0.18005,0.30189,0.01933,0.00000,0.00000,0.00038,0.02169,0.00014,0.01224,0.00009,0.00000,0.00003,0.01888,0.03364,0.58963,0.39594,0.30357,1.00000,0.61418,0.00695,0.00361,0.03825,0.13754,0.00149,0.03839,0.07399,0.06818,0.21970,0.12863,0.09227,0.02108,0.00123,0.00000,0.01255,0.34459,0.31841,0.31448,0.21498,0.20330,0.22399,0.01533,0.02923,0.03520
Cyprinus carpio,0.00572,0.03469,0.00861,0.00000,0.00000,0.00000,0.45868,0.40306,0.26353,0.00033,0.00022,0.00039,0.00081,0.00014,0.00000,0.00000,0.00000,0.00000,0.91379,0.97847,0.90707,0.11258,0.03330,0.00004,0.00000,0.00982,0.00000,0.00018,0.00000,0.00000,0.00000,0.00000,0.00036,0.01319,0.00422,1.00000,0.79194,0.86671,0.04511,0.00290,0.00286,0.34590,0.49214,0.50425,0.11912,0.08450,0.10211,0.09988,0.09027,0.02974,0.00339,0.00008,0.00010,0.00012,0.00000,0.00007,0.13925,0.54363,0.03784
Lepomis microlophus,0.00015,0.00038,0.00000,0.00012,0.00000,0.00000,0.52142,0.33339,0.58855,0.00016,0.01067,0.00008,0.00032,0.00008,0.00022,0.00000,0.00000,0.00319,0.44781,0.00000,0.00000,0.81868,1.00000,0.77073,0.77859,0.81324,0.00000,0.00220,0.07750,0.00000,0.00000,0.00000,0.00000,0.00219,0.00110,0.78645,0.44571,0.69602,0.02811,0.00115,0.00000,0.32082,0.60954,0.66346,0.09721,0.21607,0.34639,0.00000,0.09944,0.00000,0.00016,0.00000,0.00000,0.00000,0.00000,0.00000,0.19595,0.07981,0.06927
Gambusia affinis,0.00000,0.00000,0.00000,0.00000,0.00231,0.01397,0.04383,0.03947,0.04975,0.00000,0.00007,0.00117,0.00012,0.00000,0.00016,0.00000,0.01698,0.00000,0.06424,0.03919,0.02711,0.17418,0.07933,0.10309,0.84553,0.14312,0.53958,0.03618,0.16643,0.23867,0.00000,0.00000,0.00000,0.00000,0.00000,0.14120,0.16626,0.04367,0.00513,0.00000,0.01044,1.00000,0.24045,0.15497,0.54803,0.37612,0.30256,0.07557,0.19307,0.01988,0.03025,0.02065,0.02715,0.00000,0.00669,0.02855,0.45593,0.22798,0.10444
Oncorhynchus mykiss,0.40550,0.34048,0.28121,0.03344,0.07589,0.11425,0.00062,0.00000,0.00000,0.00015,0.00013,0.01047,0.46549,1.00000,0.73391,0.06430,0.05105,0.00000,0.00000,0.00004,0.00000,0.00035,0.00008,0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03241,0.00453,0.22372,0.27809,0.00223,0.00000,0.00205,0.20602,0.00063,0.01427,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01422,0.03358,0.02281,0.00899,0.04546,0.02834,0.00000,0.00000,0.00000
Oncorhynchus tshawytscha,0.00044,0.00075,0.00040,0.66227,0.63700,0.66460,0.04810,0.01273,0.05856,0.00000,0.00000,0.00000,0.00019,0.00000,0.00000,0.00000,0.03223,0.00000,0.00000,0.00000,0.00000,0.00000,0.00027,0.00056,0.00012,0.00022,0.00000,0.00000,0.00000,0.53413,0.18284,0.02035,0.05088,0.00000,0.00000,0.00384,0.14691,0.00201,0.02750,0.08548,0.00480,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.01731,0.01143,1.00000,0.00049,0.01144,0.01442,0.02315,0.01504,0.01545,0.00000,0.00000,0.00007
Hysterocarpus traskii,0.00004,0.00014,0.00000,0.06466,0.07411,0.07438,0.02835,0.00000,0.00494,0.24283,0.23249,0.08034,0.00049,0.00028,0.00000,0.41759,0.23591,0.29566,0.00000,0.00000,0.00007,0.00015,0.00010,0.00016,0.00009,0.00004,0.00000,0.16067,0.07683,0.07166,0.00009,0.02818,0.00065,0.00053,0.00000,0.00119,0.00000,0.00000,0.02593,0.00000,0.09830,0.00000,0.00328,0.00000,0.00000,0.00550,0.00301,0.03822,0.03984,0.07519,0.25866,0.33736,0.35972,0.04300,1.00000,0.03639,0.00000,0.00223,0.00000
Lepomis cyanellus,0.00000,0.00000,0.00000,0.02166,0.06133,0.00000,0.09537,0.02513,0.07280,0.14811,0.00046,0.00046,0.00076,0.00030,0.00013,0.00000,0.14035,0.11052,0.75408,0.39383,1.00000,0.39709,0.09636,0.14602,0.14789,0.33615,0.00000,0.00008,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05498,0.00052,0.00000,0.00000,0.00000,0.00000,0.06555,0.06867,0.10089,0.17639,0.15259,0.04451,0.00000,0.00006,0.00000,0.00000,0.00000,0.00000,0.00000,0.00630,0.00000,0.12324,0.25754,0.05159
Orthodon microlepidotus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.24674,0.05960,0.18899,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00000,0.00000,0.00000,0.00000,0.00000,0.05362,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.85349,0.97573,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00017,0.00000
Carassius auratus,0.00000,0.00026,0.00000,0.00000,0.00000,0.00000,0.81613,0.54773,0.94618,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00110,0.32236,0.00000,0.00000,0.00000,0.00000,0.00000,0.04983,0.03943,0.11921,0.59611,0.74991,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09313,0.00000,0.00000,0.00000,0.00036,0.00000
Menidia beryllina complex,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.55990,0.21793,0.00000,0.00000,0.00000,0.00000,0.00046,0.00000,0.00000,0.00000,0.00000,0.00000,0.59053,0.00000,0.00000,1.00000,0.57447,0.46650,0.00000,0.00000,0.00000,0.00038,0.00000,0.00000,0.00000,0.00000,0.00000,0.00363,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00216,0.13208,0.93297,0.98425,0.28914,0.34911,0.54901,0.00000,0.00000,0.00000,0.00182,0.00000,0.00000,0.00000,0.00000,0.00000,0.50279,0.00000,0.00000
Notemigonus crysoleucas,0.00000,0.00050,0.00000,0.00000,0.00000,0.00000,0.23743,0.38908,0.43348,0.00000,0.00019,0.00000,0.00016,0.00000,0.00000,0.00000,0.00000,0.00000,0.03420,0.03060,0.00000,0.04662,0.00000,0.04994,0.00000,0.00000,0.00000,0.00000,0.00000,0.00163,0.00000,0.00000,0.00000,0.00185,0.00108,0.64023,0.36475,1.00000,0.03466,0.00228,0.00000,0.03343,0.05486,0.06075,0.01113,0.00000,0.03426,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Percina macrolepida,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11153,0.03974,0.17309,0.09361,0.00018,0.00000,0.00000,0.00000,0.00000,0.09920,0.00000,0.00000,0.00000,0.00000,0.06176,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00045,0.00097,0.00000,0.00000,0.00000,0.00487,0.07904,0.00000,0.00000,0.15946,0.11614,0.14369,0.11760,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Micropterus dolomieu,0.03990,0.29831,0.25177,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.62635,0.00000,0.00000,0.00052,0.00000,0.00000,0.00000,0.00000,0.00000,0.11120,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.84473,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00085,0.07642,0.02523,0.01088,0.01828,0.26504,0.23677,0.29376,0.56737,0.08079,0.00175,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13101
Oncorhynchus nerka,0.96546,1.00000,0.60360,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Pimephales promelas,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00071,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00072,0.35756,0.23706,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Lepomis gulosus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.51504,0.67044,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.84800,1.00000,0.57961,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Ameiurus catus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31713,0.00618,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08282,0.00000,1.00000,0.15954,0.09600,0.23575,0.00000,0.03872,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11740,0.25498,0.15455,0.05529,0.08012,0.20344,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Pomoxis nigromaculatus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93378,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07986,0.00000,0.00000,0.00000,0.02350,0.00000,0.00000,0.00000,0.00000,0.07183,0.00000,0.00000,0.46742,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Ameiurus melas/nebulosus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08343,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02496,0.53478,0.70875,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.27241,0.00000,1.00000,0.00000,0.00000,0.00000,0.85451,0.82421,0.39892,0.26001,0.07241,0.04184,0.00000,0.00456,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02484,0.00000,0.00000
Dorosoma petenense,0.49366,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000