,Catostomus occidentalis,Ptychocheilus grandis,Micropterus salmoides,Lepomis macrochirus,Gasterosteus aculeatus,Cottus asper,Cyprinus carpio,Lepomis microlophus,Gambusia affinis,Oncorhynchus mykiss,Oncorhynchus tshawytscha,Hysterocarpus traskii,Lepomis cyanellus,Orthodon microlepidotus,Carassius auratus,Menidia audens complex,Notemigonus crysoleucas,Percina macrolepida,Micropterus dolomieu,Oncorhynchus nerka,Pimephales promelas,Lepomis gulosus,Ameiurus catus,Pomoxis nigromaculatus,Ameiurus melas/nebulosus,Dorosoma petenense
PC_001,2944,1674,1079,0,31244,13690,133,0,0,11843,15,0,0,0,0,0,0,0,81,1876,0,0,0,0,0,79
PC_002,6251,2636,699,0,37794,12805,957,0,0,11791,30,0,0,0,0,0,0,0,718,2304,0,0,0,0,0,0
PC_003,3764,1666,751,0,35481,11017,194,0,0,7955,0,0,0,0,0,0,0,0,495,1136,0,0,0,0,0,155
PC_004,16534,5653,140,215,20154,8529,0,0,0,1275,29203,1765,311,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_005,17066,4556,731,768,20768,9040,0,0,58,3055,29783,2389,930,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_006,6864,1620,0,435,6857,2329,0,0,125,1642,11093,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_007,12325,3761,9250,14658,122,1690,12956,8405,968,0,1981,805,1274,2085,3261,1551,1940,951,0,0,0,0,107,412,0,0
PC_008,9411,7487,10888,21060,0,1739,10919,5154,836,0,503,0,322,0,2099,579,3049,325,0,0,0,0,2,0,0,0
PC_009,7678,3256,3342,10752,135,1369,4302,5483,635,0,1394,81,562,923,2185,0,2047,853,0,0,0,0,0,255,8,0
PC_018,23316,25918,1081,2,0,766,0,0,0,0,0,5235,1502,0,0,0,0,606,1172,0,0,0,0,0,0,0
PC_019,19906,25239,1751,0,0,217,0,113,0,0,0,4337,4,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_020,19927,33913,7601,0,0,0,0,0,21,301,0,1849,5,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_025,1652,1986,0,0,30395,14019,0,0,0,12938,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_026,0,666,0,0,25410,6627,0,0,0,26968,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_035,827,724,0,0,16475,11699,0,0,2,14806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_027,23485,8148,0,0,7699,9020,0,0,0,1744,0,9070,0,0,0,0,0,647,0,0,0,0,0,0,0,0
PC_028,14255,8139,0,697,3244,2545,0,0,163,787,577,2912,815,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_036,2912,1021,0,144,502,764,0,0,0,0,0,654,115,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_029,1083,2280,12244,13382,0,585,23555,6716,1320,0,0,0,9372,0,0,1522,260,0,255,0,0,0,26,0,0,0
PC_030,911,0,14776,14387,0,0,18288,0,585,0,0,0,3556,0,0,0,169,0,0,0,0,0,0,0,0,0
PC_031,603,1134,6172,9232,0,0,12306,0,291,0,0,0,6493,0,0,0,0,256,1198,0,0,0,164,0,0,0
PC_037,0,214,1434,10365,0,0,768,3187,929,0,0,0,1281,0,0,669,92,0,0,0,0,0,13,0,0,0
PC_038,0,0,7531,32004,0,500,668,11446,1244,0,0,0,914,0,0,1130,0,0,0,0,0,205,23,0,63,0
PC_039,0,1817,12068,37618,0,0,0,10777,1975,0,20,0,1692,0,0,1121,354,0,0,0,0,326,69,0,102,0
PC_040,6841,820,15550,31772,0,489,0,15412,22735,0,0,0,2426,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_041,11217,1960,11702,32286,0,0,276,13044,3145,0,0,0,4468,0,0,0,0,0,0,0,0,0,13,0,0,0
PC_043,1585,2485,641,0,0,0,0,0,870,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0
PC_044,6866,32009,30965,86,0,0,0,34,767,0,0,4380,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_045,19496,39839,13099,1256,0,640,0,1302,3831,0,0,2274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_049,3323,0,2461,0,90,164,0,0,790,0,3297,305,0,0,0,0,0,1278,0,0,0,0,0,0,0,0
PC_051,14523,1619,0,0,3446,7254,0,0,0,0,2848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_052,34782,2906,0,1836,9583,10139,0,0,0,905,660,630,0,0,0,0,0,3,0,0,0,0,0,0,0,0
PC_053,21793,5119,0,0,5306,4794,0,0,0,78,1018,9,0,8,0,0,0,4,0,0,0,0,0,0,0,0
PC_055,296,0,3,0,6952,6462,74,0,0,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
PC_056,0,85,1002,0,9873,4526,0,0,0,2234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_057,0,92,1125,1080,0,0,2500,1122,276,0,0,0,65,0,114,0,463,0,0,0,0,0,0,0,4,0
PC_058,476,298,2732,1669,0,0,3235,1039,531,0,875,0,0,0,0,0,431,6,0,0,0,0,0,0,0,0
PC_059,713,480,1361,452,0,120,2361,1082,93,0,0,0,0,0,0,0,788,65,0,0,0,0,0,0,16,0
PC_061,351,1406,33,96,313,158,45,16,4,258,40,26,0,16,0,0,10,0,0,0,0,0,0,0,0,0
PC_062,972,14547,0,0,4566,0,0,0,0,0,946,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
PC_063,4011,16161,230,0,3359,303,0,0,77,169,66,932,0,0,0,0,0,454,0,0,0,0,0,0,0,0
PC_070,594,266,26022,7392,0,2309,9373,4961,21186,0,0,0,840,0,191,351,262,950,2,0,0,456,38,0,136,0
PC_071,2930,140,25885,16145,0,2446,15351,10850,5756,0,0,103,1013,0,174,2854,495,1353,208,0,0,619,95,35,151,0
PC_072,1821,0,23226,11314,0,7127,14204,10665,3413,0,0,0,1344,0,475,2719,495,1000,62,0,0,324,52,0,66,0
PC_074,10538,4407,12738,8887,0,3588,2886,1344,10381,0,0,0,2021,7248,2043,687,78,0,23,0,430,0,16,0,37,0
PC_075,11289,7210,16782,12020,0,2998,2384,3479,8297,0,0,156,2036,7204,2993,966,0,0,45,0,332,0,27,206,12,0
PC_076,15655,12159,15212,16407,0,889,3740,7240,8664,0,0,111,771,10691,5181,1972,363,0,847,0,1818,0,89,0,9,0
PC_078,6548,35833,5592,0,0,0,1900,0,1124,0,480,731,0,0,0,0,0,0,393,0,0,0,0,0,0,0
PC_079,12596,72410,3892,0,0,0,3374,2121,5642,0,623,1497,0,0,0,0,0,0,958,0,0,0,0,0,0,0
PC_080,1808,30924,7071,0,0,506,1041,0,544,0,50592,2646,0,0,0,0,0,0,1733,0,0,0,0,0,0,0
PC_082,8728,2303,0,146,12017,4442,0,0,265,200,8,2914,0,0,0,0,0,0,79,0,0,0,0,0,0,0
PC_083,7973,1761,255,84,16054,4665,0,0,211,551,218,4433,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PC_084,10864,3135,354,210,26686,7259,0,0,441,595,437,7514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_085,3376,1593,0,0,34749,4070,0,0,0,186,556,712,0,0,217,0,0,0,0,0,0,0,0,0,0,0
PC_086,1414,898,182,390,22965,4151,0,0,93,1015,390,17880,53,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_087,4287,792,0,136,30876,3863,0,0,335,534,338,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_090,12638,2244,9161,1534,2486,239,1909,1533,4887,0,0,0,799,0,0,676,0,0,0,0,0,0,0,0,2,0
PC_091,21645,3272,5884,1429,4137,660,10659,893,3495,0,0,44,2388,0,0,0,0,0,0,0,0,0,0,0,0,0
PC_092,16056,5600,22380,549,3365,764,715,747,1543,0,2,0,461,0,0,0,0,0,216,0,0,0,0,0,0,0